Parallelism|dataset|query-type|from(ms)|to(ms)|verify|count-only|Runtime(s)|Part.-Strat.|Partitioned Field|Type|Query
6|hdfs:///user/kretschmer/citibike|all|null|null|false|true|318|hash|id|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|541|hash|id|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|557|hash|id|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|706|hash|id|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|all|null|null|false|true|314|hash|name|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|553|hash|name|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|542|hash|name|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|574|hash|name|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|all|null|null|false|true|331|hash|regionId|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|438|hash|regionId|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|449|hash|regionId|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|599|hash|regionId|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|all|null|null|false|true|310|range|id|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|584|range|id|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|565|range|id|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|603|range|id|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|all|null|null|false|true|315|range|name|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|564|range|name|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|556|range|name|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|723|range|name|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|all|null|null|false|true|319|range|regionId|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|555|range|regionId|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|556|range|regionId|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|586|range|regionId|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|all|null|null|false|true|315|default|id|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|441|default|id|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|437|default|id|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|594|default|id|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|all|null|null|false|true|312|default|name|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|564|default|name|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|559|default|name|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|590|default|name|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|all|null|null|false|true|312|default|regionId|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|554|default|regionId|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|556|default|regionId|PatternMatching|2
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|712|default|regionId|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|all|null|null|false|true|412|edgeHash|id|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|611|edgeHash|id|PatternMatching|1
