Parallelism|dataset|query-type|from(ms)|to(ms)|verify|count-only|Runtime(s)|Part.-Strat.|Partitioned Field|Type
6|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|224|hash|id|Snapshot
12|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|132|hash|id|Snapshot
24|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|74|hash|id|Snapshot
48|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|46|hash|id|Snapshot
96|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|33|hash|id|Snapshot
6|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|356|DBH|regionId|Snapshot
12|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|176|DBH|regionId|Snapshot
24|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|95|DBH|regionId|Snapshot
48|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|64|DBH|regionId|Snapshot
96|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|45|DBH|regionId|Snapshot
6|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|296|default|regionId|Snapshot
12|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|123|default|regionId|Snapshot
24|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|67|default|regionId|Snapshot
48|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|41|default|regionId|Snapshot
96|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|29|default|regionId|Snapshot
6|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|247|hash|label|Snapshot
6|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|311|edgeHash|label|Snapshot
6|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|299|edgeHash|day|Snapshot
6|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|294|edgeHash|year|Snapshot
6|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|288|edgeHash|bike_id|Snapshot
12|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|138|hash|label|Snapshot
12|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|323|edgeHash|label|Snapshot
12|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|176|edgeHash|day|Snapshot
12|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|166|edgeHash|year|Snapshot
12|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|171|edgeHash|bike_id|Snapshot
24|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|81|hash|label|Snapshot
24|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|314|edgeHash|label|Snapshot
24|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|134|edgeHash|day|Snapshot
24|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|110|edgeHash|year|Snapshot
24|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|101|edgeHash|bike_id|Snapshot
48|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|53|hash|label|Snapshot
48|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|288|edgeHash|label|Snapshot
48|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|72|edgeHash|day|Snapshot
48|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|86|edgeHash|year|Snapshot
48|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|70|edgeHash|bike_id|Snapshot
96|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|38|hash|label|Snapshot
96|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|302|edgeHash|label|Snapshot
96|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|49|edgeHash|day|Snapshot
96|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|80|edgeHash|year|Snapshot
96|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|48|edgeHash|bike_id|Snapshot
6|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|276|range|regionId|Snapshot
12|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|138|range|regionId|Snapshot
24|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|75|range|regionId|Snapshot
48|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|48|range|regionId|Snapshot
96|hdfs:///user/kretschmer/citibike|fromto|1451606400000|1483228800000|false|true|33|range|regionId|Snapshot
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|459|hash|label|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|450|hash|label|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|403|hash|id|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|420|hash|id|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|390|edgeHash|label|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|422|edgeHash|label|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|351|edgeHash|day|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|396|edgeHash|day|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|719|edgeHash|year|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|813|edgeHash|year|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|366|edgeHash|bike_id|PatternMatching|1
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|387|edgeHash|bike_id|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|213|hash|label|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|249|hash|label|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|229|hash|id|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|242|hash|id|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|212|edgeHash|label|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|225|edgeHash|label|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|190|edgeHash|day|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|225|edgeHash|day|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|390|edgeHash|year|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|499|edgeHash|year|PatternMatching|3
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|262|edgeHash|bike_id|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|223|edgeHash|bike_id|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|123|hash|label|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|135|hash|label|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|135|hash|id|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|131|hash|id|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|124|edgeHash|label|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|146|edgeHash|label|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|153|edgeHash|day|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|148|edgeHash|day|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|426|edgeHash|year|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|459|edgeHash|year|PatternMatching|3
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|154|edgeHash|bike_id|PatternMatching|1
24|hdfs:///user/kretschmer/citibike|null|null|null|null|true|158|edgeHash|bike_id|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|77|hash|label|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|90|hash|label|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|89|hash|id|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|89|hash|id|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|81|edgeHash|label|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|87|edgeHash|label|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|91|edgeHash|day|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|99|edgeHash|day|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|294|edgeHash|year|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|333|edgeHash|year|PatternMatching|3
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|87|edgeHash|bike_id|PatternMatching|1
48|hdfs:///user/kretschmer/citibike|null|null|null|null|true|98|edgeHash|bike_id|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|457|range|regionId|PatternMatching|3
6|hdfs:///user/kretschmer/citibike|null|null|null|null|true|427|range|regionId|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|226|range|regionId|PatternMatching|1
12|hdfs:///user/kretschmer/citibike|null|null|null|null|true|223|range|regionId|PatternMatching|3
