Parallelism|dataset|query-type|from(ms)|to(ms)|verify|count-only|Runtime(s)|Part.-Strat.|Partitioned Field|Type
6|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|599|hash|id|Snapshot
6|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|500|hash|id|Snapshot
6|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|675|range|id|Snapshot
12|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|305|hash|id|Snapshot
12|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|358|range|id|Snapshot
24|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|158|hash|id|Snapshot
24|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|195|range|id|Snapshot
48|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|91|hash|id|Snapshot
48|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|152|range|id|Snapshot
96|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|55|hash|id|Snapshot
96|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|327|range|id|Snapshot
6|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|434|default|year|Snapshot
12|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|210|default|year|Snapshot
24|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|133|default|year|Snapshot
48|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|75|default|year|Snapshot
96|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|48|default|year|Snapshot
6|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|640|hash|label|Snapshot
6|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|566|range|label|Snapshot
6|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|632|edgeHash|label|Snapshot
6|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|632|edgeHash|day|Snapshot
6|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|666|edgeHash|year|Snapshot
12|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|322|hash|label|Snapshot
12|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|297|range|label|Snapshot
12|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|338|edgeHash|label|Snapshot
12|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|341|edgeHash|day|Snapshot
12|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|348|edgeHash|year|Snapshot
24|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|174|hash|label|Snapshot
24|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|153|range|label|Snapshot
24|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|190|edgeHash|label|Snapshot
24|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|180|edgeHash|day|Snapshot
24|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|266|edgeHash|year|Snapshot
48|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|112|hash|label|Snapshot
48|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|79|range|label|Snapshot
48|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|138|edgeHash|label|Snapshot
48|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|98|edgeHash|day|Snapshot
48|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|222|edgeHash|year|Snapshot
96|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|82|hash|label|Snapshot
96|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|55|range|label|Snapshot
96|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|118|edgeHash|label|Snapshot
96|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|60|edgeHash|day|Snapshot
96|hdfs:///ldbc/csv_gradoop_temporal/ldbc_10|asof|1308000000000|null|false|true|194|edgeHash|year|Snapshot
6|hdfs:///user/kretschmer/ldbc10|asof|1308000000000|null|false|true|605|DBH|id|Snapshot
12|hdfs:///user/kretschmer/ldbc10|asof|1308000000000|null|false|true|307|DBH|id|Snapshot
24|hdfs:///user/kretschmer/ldbc10|asof|1308000000000|null|false|true|153|DBH|id|Snapshot
48|hdfs:///user/kretschmer/ldbc10|asof|1308000000000|null|false|true|104|DBH|id|Snapshot
96|hdfs:///user/kretschmer/ldbc10|asof|1308000000000|null|false|true|69|DBH|id|Snapshot
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|859|hash|label|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|397|hash|label|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|529|hash|label|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|561|hash|id|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|381|hash|id|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|527|hash|id|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|558|edgeHash|label|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|362|edgeHash|label|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|546|edgeHash|label|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|671|edgeHash|day|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|457|edgeHash|day|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|580|edgeHash|day|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|884|edgeHash|year|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|452|edgeHash|year|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|1068|edgeHash|year|PatternMatching|6
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|485|hash|label|PatternMatching|4
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|289|hash|label|PatternMatching|5
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|376|hash|label|PatternMatching|6
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|320|hash|id|PatternMatching|4
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|202|hash|id|PatternMatching|5
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|331|edgeHash|label|PatternMatching|4
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|214|edgeHash|label|PatternMatching|5
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|328|edgeHash|label|PatternMatching|6
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|354|edgeHash|day|PatternMatching|4
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|250|edgeHash|day|PatternMatching|5
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|309|edgeHash|day|PatternMatching|6
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|1034|edgeHash|year|PatternMatching|4
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|253|edgeHash|year|PatternMatching|5
12|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|915|edgeHash|year|PatternMatching|6
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|432|hash|label|PatternMatching|4
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|284|hash|label|PatternMatching|5
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|337|hash|label|PatternMatching|6
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|206|hash|id|PatternMatching|4
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|140|hash|id|PatternMatching|5
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|193|hash|id|PatternMatching|6
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|207|edgeHash|label|PatternMatching|4
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|125|edgeHash|label|PatternMatching|5
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|201|edgeHash|label|PatternMatching|6
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|247|edgeHash|day|PatternMatching|4
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|168|edgeHash|day|PatternMatching|5
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|228|edgeHash|day|PatternMatching|6
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|885|edgeHash|year|PatternMatching|4
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|265|edgeHash|year|PatternMatching|5
24|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|851|edgeHash|year|PatternMatching|6
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|474|hash|label|PatternMatching|4
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|292|hash|label|PatternMatching|5
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|389|hash|label|PatternMatching|6
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|136|hash|id|PatternMatching|4
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|88|hash|id|PatternMatching|5
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|127|hash|id|PatternMatching|6
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|136|edgeHash|label|PatternMatching|4
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|85|edgeHash|label|PatternMatching|5
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|125|edgeHash|label|PatternMatching|6
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|152|edgeHash|day|PatternMatching|4
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|104|edgeHash|day|PatternMatching|5
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|142|edgeHash|day|PatternMatching|6
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|1010|edgeHash|year|PatternMatching|4
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|273|edgeHash|year|PatternMatching|5
48|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|958|edgeHash|year|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|692|DBH|year|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|490|DBH|year|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|595|DBH|year|PatternMatching|6
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|627|default|year|PatternMatching|4
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|398|default|year|PatternMatching|5
6|hdfs:///user/kretschmer/ldbc10|null|null|null|null|true|562|default|year|PatternMatching|6
